UUID,Name,Points
76f5d4d8-650d-4997-bea3-f86c4b0aa057,Laura Miller,644
d8e894ae-cdc7-41c5-8a30-add721c8d2a2,Jane Martinez,968
85734a5d-2333-4884-9f0b-0dc39e9e4873,Bob Martinez,247
9c0d823b-b3ae-4a12-9f18-892d7db01360,Chris Johnson,1277
0ce6f4cb-5bfa-4fa2-a8b7-aedf525cc58d,Bob Smith,548
90faec1d-68a0-45e2-b84c-d7e7e6b3d67b,Daniel Garcia,518
c141d21d-b593-45ae-a135-176ef5dafa7b,Michael Garcia,572
6ae98cfd-6f74-4e21-91e0-09678c87d2bb,John Johnson,943
91f3ffd2-936d-4153-a201-a2cf87cc7d14,Sophie Jones,977
9279a3c4-936e-42cb-b52d-42d5fb2e7d6d,Bob Taylor,80
daecc844-d9ec-41b0-a028-1f35d60aa484,Alice Williams,882
af42b59d-83b1-4f77-b160-5d4bdcc61c21,Chris Johnson,457
0655a0e1-d084-4af9-89bb-dc0ff5e718dc,Michael Davis,441
bd1e52db-ef2a-4891-b914-bde43a50c2e1,John Johnson,1128
75ac0903-d401-49bd-8f90-c3bb0da1d8b0,Chris Brown,1308
80ccbfd4-623d-4bf3-bd6c-44ce7d3a2e41,Sophie Jones,520
03bd93d3-f888-4fd3-96fb-8469b869cbb0,Olivia Davis,956
8090bd71-064f-42ec-8b26-4c4801eb722b,Alice Brown,1063
b8e81989-5b71-43c4-806d-1fedff690fbf,Michael Johnson,226
0c73442f-4fb1-47d9-bff6-6607030360ad,Bob Miller,1093
c8a5338b-ea8a-480f-bc2a-1153384bca4c,Bob Davis,1452
af42b59d-83b1-4f77-b160-5d4bdcc61c21,Michael Taylor,187
0595f84c-d633-4d76-9631-3db33b633799,John Martinez,657
28b97cd0-9453-4b59-8af9-9925c3bdb048,Daniel Jones,1167
ea0b10c9-0446-4a97-bac2-705f7f9cba0f,Jane Garcia,1135
9c0d823b-b3ae-4a12-9f18-892d7db01360,Michael Garcia,1478
9ee925d6-60ce-4ecd-8aca-06762ed49ad8,Jane Garcia,1298
55a83648-8fba-4024-a8ec-d740793a6404,Sophie Taylor,1163
55a83648-8fba-4024-a8ec-d740793a6404,Jane Davis,1082
b73f95f5-7d9a-4734-98c8-5b6e8d6e0dc7,Bob Brown,1433
637e448a-1a8d-4a21-a8fc-b17f8acaf514,Alice Jones,220
1df5a35e-7c3b-477c-8ef4-c505368b0c39,Michael Miller,1294
29e72454-1f34-40ee-8348-d9ca3fe4f92e,Bob Smith,935
cbaf8b4e-5eef-4abe-840c-89c39f249bcd,Olivia Davis,1079
2eae0e0a-9113-49c0-80a3-36ff5c878832,Daniel Jones,1231
fa4bd13a-f06c-4b37-8d62-837cac908477,Alice Miller,713
b4651857-eccc-49ab-8fae-35d0d3c11905,Olivia Davis,360
af42b59d-83b1-4f77-b160-5d4bdcc61c21,Olivia Jones,645
2a526c44-9f28-499e-b1d9-f5c6dec3805d,Laura Miller,653
76bc04c5-24a3-44e0-9181-104b8db1396d,Bob Garcia,1258
11f203c3-16ba-4c8d-b5b2-bc6550fa1896,Olivia Williams,218
4f0a5dbf-ffd3-46eb-abeb-be97865dd981,Daniel Garcia,760
f7e8e44b-4901-433d-b62c-6238c5cf9935,Daniel Johnson,123
c8c4ae61-1111-4621-bf10-494bef46a6ea,Michael Brown,590
f80e6338-f597-425e-bd55-3908dc1f3e21,Alice Miller,1195
e83e5578-2109-4be1-ae81-e1ff929bc4c2,Daniel Brown,384
2d010f2b-320d-4124-8f89-5ea38f4f65cd,Sophie Johnson,605
5c3bc1b0-6f8f-4aaa-a328-6fd739ecb3b1,Laura Davis,506
80838a6b-71fa-4d07-9568-7da95c0e46d1,Michael Jones,514
26260278-69cf-43b0-ba9c-a17272294101,Bob Davis,809
eb0e1de7-9017-43df-b5fe-ba44597cef03,Sophie Martinez,579
11afe48d-92ae-4fdc-9367-0e17c1396e86,Jane Brown,1294
63082b82-5945-4806-a21c-667c17efe610,Daniel Brown,1282
2a3a889b-7942-429b-b2f9-430d7d6b616a,Michael Miller,209
f0732a89-281a-46be-9b7b-c311a82237e5,Chris Taylor,965
0083a123-3f19-47b7-a0bb-1d1d94ced830,Alice Miller,108
4069f29f-6913-4408-bbe7-4892ff36ad49,Olivia Brown,199
4ed51bf3-2a33-4fc3-bedf-027333540671,Daniel Taylor,825
a032dd8f-924f-4afc-bac4-09d852bf4998,John Johnson,807
4d808144-afda-46a2-95b0-ec13464ebc97,John Martinez,837
a1cbdfed-7ec3-4dc3-912a-e5cb34a2b7f9,Chris Brown,858
5c3bc1b0-6f8f-4aaa-a328-6fd739ecb3b1,Laura Davis,1146
2b09857d-16dd-4bae-bb89-d1ed236757f3,Bob Johnson,815
3ed24fc3-2532-4a2f-b4a3-8a33e3ba2a41,Daniel Brown,887
3884451e-c03a-4c17-859b-cd5cefc71d92,Olivia Garcia,429
7ff68204-f11f-44b2-b9d4-98ad3a0079ca,John Smith,303
